date,value
2025-08-23T00:28:56Z,0
2025-08-24T00:22:27Z,0
2025-08-25T00:28:18Z,0
2025-08-26T00:36:56Z,0
2025-08-27T00:34:28Z,0
2025-08-29T00:52:08Z,1
2025-08-30T00:42:49Z,1
2025-08-31T00:45:07Z,1
2025-09-01T00:38:55Z,1
2025-09-02T00:41:54Z,1
2025-09-03T00:40:49Z,1
2025-09-05T00:32:08Z,1
2025-09-06T00:40:35Z,1
2025-09-09T00:31:53Z,1
2025-09-10T00:30:02Z,1
2025-09-11T00:38:24Z,1
2025-09-12T00:28:33Z,1
2025-09-13T00:31:16Z,1
2025-09-14T00:28:42Z,1
2025-09-15T00:33:33Z,1
2025-09-21T00:28:14Z,1
2025-09-22T00:30:56Z,1
2025-09-23T00:32:03Z,1
2025-09-24T00:29:18Z,1
2025-09-25T00:26:59Z,1
2025-09-27T01:36:51Z,1
2025-09-28T00:47:23Z,1
2025-09-30T00:28:06Z,1
2025-10-03T00:32:08Z,1
2025-10-05T00:37:23Z,1
2025-10-06T00:33:04Z,1
2025-10-08T00:26:24Z,1
2025-10-10T00:28:25Z,1
2025-10-12T00:35:42Z,1
