date,"Academic, Training and Research",Foundation,Government,International NGO,Multilateral,National NGO,Other Public Sector,Private Sector,Public Private Partnership,Regional NGO
2013-09-19 02:16:07 +0100,43,1102,211415,13377,34718,17,1713,,1749,14
2013-09-20 02:42:51 +0100,43,1102,211415,13378,34731,17,1713,,1749,14
2013-09-21 02:35:34 +0100,43,1102,211415,13381,34746,17,1713,,1749,14
2013-09-22 02:42:30 +0100,43,1102,211415,13381,34746,17,1713,,1749,14
2013-09-23 14:45:25 +0100,43,1102,211415,13381,34746,17,1713,,1749,14
2013-09-24 02:24:38 +0100,43,1102,211415,13385,34757,17,1713,,1749,14
2013-09-25 02:24:18 +0100,43,1102,211415,13392,34764,18,1133,,1749,14
2013-09-25 11:14:19 +0100,43,1102,214011,13392,40686,18,1133,,1749,14
2013-09-25 15:24:36 +0100,43,1102,214011,13392,40686,18,1133,,1749,14
2013-09-26 02:28:48 +0100,43,1105,214011,11732,40693,18,1713,,1749,14
2013-09-27 03:04:57 +0100,43,1105,214011,13402,40710,18,1713,,1749,14
2013-09-28 02:34:11 +0100,43,1105,214011,13432,40754,18,1713,,1749,14
2013-09-29 02:37:28 +0100,43,1105,214011,13436,40758,18,1713,,1749,14
2013-09-30 02:41:33 +0100,43,1105,214011,13438,40758,18,1713,,1749,14
2013-10-01 02:48:10 +0100,43,1108,214011,13482,40770,18,3056,,1749,14
2013-10-02 02:40:18 +0100,43,1108,214011,13550,40773,18,3056,,1749,14
2013-10-03 02:50:49 +0100,43,1108,212324,13549,40782,17,2956,,1749,14
2013-10-04 02:42:18 +0100,43,1108,212324,13533,40793,17,2956,,1749,14
2013-10-05 02:35:24 +0100,43,1108,212324,13638,40793,17,2956,,1749,14
2013-10-06 02:35:14 +0100,43,1108,212324,13639,40796,17,2956,,1749,14
2013-10-07 02:36:02 +0100,43,1108,212324,13639,40796,17,2956,,1749,14
2013-10-08 02:48:25 +0100,43,1108,212324,13659,42126,18,2956,,1749,14
2013-10-09 02:44:15 +0100,43,1108,214724,13663,42131,18,2956,,1749,14
2013-10-10 02:42:47 +0100,43,1109,214758,13664,42132,18,2956,,1749,14
2013-10-11 02:43:24 +0100,43,1109,214758,13669,42132,18,2956,,1749,14
2013-10-12 02:36:46 +0100,43,1109,214758,13671,42153,19,2956,,1749,14
2013-10-13 02:34:49 +0100,43,1109,214758,12642,42161,19,2956,,1749,14
2013-10-16 02:38:31 +0100,43,1109,214813,13680,42185,19,2956,,1749,14
2013-10-17 02:38:11 +0100,43,1109,214813,13681,42230,19,2956,,1749,14
2013-10-18 03:54:04 +0100,43,1109,214813,13698,41198,19,2956,,1749,14
2013-10-19 04:22:37 +0100,43,1109,212034,13703,42267,19,2956,,1749,14
2013-10-20 03:47:14 +0100,43,1109,214813,13703,42266,19,2956,,1749,14
2013-10-21 03:33:15 +0100,43,1109,214813,13705,42267,19,2956,,1749,14
2013-10-22 03:54:27 +0100,43,1109,319256,13709,42253,19,2956,,1749,14
2013-10-23 04:08:12 +0100,43,1109,319256,13683,42265,19,2956,,1749,14
2013-10-24 03:23:20 +0100,43,1109,319256,13697,42284,19,2956,,1749,14
2013-10-25 03:49:11 +0100,43,1109,319256,13702,42336,19,2956,,1749,14
2013-10-26 02:58:11 +0100,43,1109,319256,13703,42453,19,2956,,1749,14
2013-10-27 04:56:02 +0000,43,1109,319256,13704,42434,19,2956,,1749,14
2013-10-28 03:29:04 +0000,43,1109,319256,13698,39536,19,2956,,1749,14
2013-10-29 03:34:38 +0000,43,1109,319256,13706,42451,19,2956,,1749,14
2013-10-30 03:44:23 +0000,43,1109,319256,13712,42465,19,2956,,1749,14
2013-10-31 04:16:06 +0000,43,1109,319256,13713,42419,19,2956,,1749,14
2013-11-01 19:13:36 +0000,43,1112,69339,13717,41891,19,2956,,1749,14
2013-11-04 10:02:58 +0000,43,1112,69506,13721,41973,19,2956,,1749,14
2013-11-05 03:51:50 +0000,43,1112,69506,13723,41984,19,2965,,1749,14
2013-11-06 03:39:36 +0000,43,1112,69506,13725,42256,19,2965,,1749,14
2013-11-07 03:44:18 +0000,43,1112,69506,13727,42070,19,2965,,1749,14
2013-11-08 03:49:56 +0000,43,1112,319415,13771,42220,19,2965,,1749,14
2013-11-09 04:02:57 +0000,43,1115,320922,13774,41905,19,2965,,1749,14
2013-11-10 03:28:18 +0000,43,1115,320922,13778,42287,19,2965,,1749,14
2013-11-11 03:43:31 +0000,43,1115,320922,13778,42211,19,2965,,1749,14
2013-11-12 04:09:49 +0000,43,1115,320922,13779,41393,19,2965,,1749,14
2013-11-13 04:17:11 +0000,43,1115,320922,13850,41341,19,2965,,1752,14
2013-11-14 03:34:20 +0000,43,1115,320922,13855,41619,19,2965,,1752,14
2013-11-15 03:40:17 +0000,43,1115,320982,13868,41660,19,2965,,1729,14
2013-11-16 03:32:06 +0000,43,1115,320982,13887,35744,19,2965,,1752,14
2013-11-17 03:26:32 +0000,43,1115,320982,13891,41583,19,2965,,1752,14
2013-11-18 03:40:30 +0000,43,1115,320982,13896,41493,19,2965,,1752,14
2013-11-19 03:32:58 +0000,43,1115,320982,13898,41596,19,2965,,1752,14
2013-11-20 03:45:31 +0000,43,1115,320982,13903,41584,19,2965,,1752,14
2013-11-21 00:22:41 +0000,44,1115,320982,13913,40845,19,2965,,1752,14
2013-11-23 03:53:55 +0000,44,1115,320876,13915,40845,19,2965,,1752,14
2013-11-24 03:44:40 +0000,44,1115,320876,13962,40845,19,2965,,1752,14
2013-11-25 03:55:14 +0000,44,1115,320876,13965,39989,19,2965,,1752,14
2013-11-26 03:54:42 +0000,44,1115,320876,13967,41072,19,2965,,1752,14
2013-11-27 02:39:15 +0000,44,1115,320876,14038,42140,19,2965,,1752,14
2013-11-28 02:45:13 +0000,44,1115,320876,14069,42360,19,2965,1,1752,14
2013-11-29 02:53:16 +0000,44,1115,320876,14284,42305,19,2965,1,1747,14
2013-11-29 13:52:45 +0000,44,1115,320876,14294,42332,19,2965,1,1752,14
2013-11-30 02:38:52 +0000,44,1115,320876,14250,42390,19,2965,48,1752,14
2013-12-01 02:42:02 +0000,44,1145,320876,14260,42333,19,2965,48,1741,14
2013-12-02 02:51:58 +0000,44,1145,320876,14263,42390,19,2965,48,1752,14
2013-12-03 04:32:38 +0000,44,1147,320053,14566,42398,19,2997,49,1752,14
2013-12-04 04:03:25 +0000,44,1147,320876,14613,42403,19,2997,49,1752,14
2013-12-05 03:53:11 +0000,44,1147,320876,15605,42373,20,2997,49,1752,14
2013-12-06 02:54:29 +0000,44,1147,320876,15621,42399,20,2997,49,1752,14
2013-12-07 02:34:50 +0000,44,1147,320876,15553,42410,20,2997,49,1752,14
2013-12-08 02:36:39 +0000,44,1147,320876,15565,42410,20,2997,49,1752,14
2013-12-09 02:52:24 +0000,44,1147,320876,15574,42410,20,2997,49,1752,14
2013-12-10 02:46:19 +0000,44,1147,320876,15578,42410,20,2997,49,1725,14
2013-12-11 02:54:20 +0000,44,1147,319953,15586,42524,20,2997,49,1752,14
2013-12-12 03:04:44 +0000,44,1147,320876,15598,42531,19,2997,49,1752,14
2013-12-13 02:57:01 +0000,44,1147,320876,15606,42549,19,2997,49,1752,14
